SYMBOL,UNDERLYING ASSET,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHNG,%CHNG,VOLUME,"VALUE 
 (₹ Crores)",NAV,52W H,52W L,30D  %CHNG,365 D,365 D % CHNG,30 D,Volume,Price
MON100,Nasdaq 100,183.75,185.29,177.66,178.38,182.40,-,4.02,2.25,"7,65,378",13.87,175.07,185.29,127.35,9.77,04-Dec-2023,40.43,01-Nov-2024,765378.0,182.4
MONQ50,Nasdaq Q-50,81.92,84.93,78.00,78.02,83.90,-,5.88,7.54,"4,29,873",3.52,75.06,92.65,52.00,28.58,04-Dec-2023,52.66,01-Nov-2024,429873.0,83.9
TOP100CASE,Nifty 100,10.49,10.52,10.34,10.38,10.49,-,0.11,1.06,"2,78,389",0.29,10.39,11.99,9.93,0.19,-,-,01-Nov-2024,278389.0,10.49
ESG,Nifty 100 Esg Sector Leaders,41.14,41.42,41.08,41.13,41.41,-,0.28,0.68,"2,33,582",0.96,41.09,44.74,33.55,0.93,04-Dec-2023,21.31,01-Nov-2024,233582.0,41.41
LOWVOLIETF,Nifty 100 Low Volatility 30,21.70,21.70,20.60,21.22,21.41,-,0.19,0.90,"83,12,947",17.74,21.21,24.40,17.41,-1.2,-,-,01-Nov-2024,8312947.0,21.41
ALPHAETF,Nifty 200 Alpha 30,26.80,26.91,26.68,26.68,26.90,-,0.22,0.82,"5,04,423",1.35,26.66,30.20,19.35,1.17,04-Dec-2023,34.20,01-Nov-2024,504423.0,26.9
MOM30IETF,Nifty 200 Momentum 30,35.65,35.65,35.13,35.20,35.60,-,0.40,1.14,"37,87,860",13.44,35.14,39.42,26.00,0.31,-,-,01-Nov-2024,3787860.0,35.6
QUAL30IETF,Nifty 200 Quality 30,21.77,22.00,21.74,21.77,22.00,-,0.23,1.06,"2,50,004",0.55,21.75,26.50,17.36,0.37,-,-,01-Nov-2024,250004.0,22.0
NIFTYBEES,Nifty 50,271.98,273.20,271.22,271.38,272.95,-,1.57,0.58,"44,76,267",122.00,271.09,293.99,225.50,0.22,04-Dec-2023,19.63,01-Nov-2024,4476267.0,272.95
NV20IETF,Nifty 50 Value 20,15.90,15.90,15.00,15.45,15.55,-,0.10,0.65,"4,90,814",0.76,15.43,17.11,12.32,0.45,-,-,01-Nov-2024,490814.0,15.55
MONIFTY500,Nifty 500,23.29,23.48,22.70,22.92,23.23,-,0.31,1.35,"3,47,504",0.80,23.03,25.00,18.00,0.74,04-Dec-2023,25.01,01-Nov-2024,347504.0,23.23
MOMENTUM50,Nifty 500 Momentum 50,59.85,60.55,59.70,59.77,60.50,-,0.73,1.22,"2,02,957",1.22,59.62,66.00,54.71,1.26,-,-,01-Nov-2024,202957.0,60.5
MULTICAP,Nifty 500 Multicap 50:25:25,16.09,16.19,15.73,16.01,16.16,-,0.15,0.94,"1,35,298",0.22,16.03,17.55,15.15,0.62,-,-,01-Nov-2024,135298.0,16.16
